Aircraft_name;Legal_Basis;Aircraft_model_category;Minimum_Crew;Maximum_Passengers;MTOM_kg;ELA1_flag;ELA2_flag;Complex_aircraft;Number_of_engines;Count_of_Propellers;ICAO;Aircraft_Construction_Year;Initial_Registration_Date;Import_Previous_country;Engine_1_Manufacturer;Engine_1;Engine_2_Manufacturer;Engine_2;Engine_3_Manufacturer;Engine_3;Engine_4_Manufacturer;Engine_4;
"Saab 91D Safir";"Annex I";"Airplanes";"1";"2";"1205,00";"False";"False";"False";"1";"1";"SB91";"1961";"24.11.1982";"";"[No Info - Ei tietoa]";"[No Info - Ei tietoa]";"";"";"";"";"";"";
"Saab 91D Safir";"Annex I";"Airplanes";"1";"2";"1205,00";"False";"False";"False";"1";"1";"SB91";"1959";"17.06.1983";"";"Textron Lycoming";"Lycoming O-360-A1A";"";"";"";"";"";"";
"Saab 91D Safir";"Annex I";"Airplanes";"1";"2";"1205,00";"False";"False";"False";"1";"1";"SB91";"1960";"22.10.1982";"Sweden";"[No Info - Ei tietoa]";"[No Info - Ei tietoa]";"";"";"";"";"";"";
"Saab 91D Safir";"Annex I";"Airplanes";"1";"2";"1205,00";"False";"False";"False";"1";"1";"SB91";"1959";"14.06.2001";"";"Textron Lycoming";"Lycoming O-360-A1A";"";"";"";"";"";"";
"Saab 91D Safir";"Annex I";"Airplanes";"1";"2";"1205,00";"False";"False";"False";"1";"1";"SB91";"1960";"28.12.1982";"";"Textron Lycoming";"Lycoming O-360-A1A";"";"";"";"";"";"";
"Saab 91D Safir";"Annex I";"Airplanes";"1";"2";"1205,00";"False";"False";"False";"1";"1";"SB91";"1959";"14.09.1999";"";"Textron Lycoming";"Lycoming O-360-A1A";"";"";"";"";"";"";
"Saab 91D Safir";"Annex I";"Airplanes";"1";"2";"1205,00";"False";"False";"False";"1";"1";"SB91";"1960";"26.03.2019";"Sweden";"Textron Lycoming";"Lycoming O-360-A1A";"";"";"";"";"";"";
"Saab 91D Safir";"Annex I";"Airplanes";"1";"2";"1205,00";"False";"False";"False";"1";"1";"SB91";"1960";"20.05.1983";"";"Textron Lycoming";"Lycoming O-360-A1A";"";"";"";"";"";"";
"Saab 91D Safir";"Annex I";"Airplanes";"1";"2";"1205,00";"False";"False";"False";"1";"1";"SB91";"1958";"";"";"Textron Lycoming";"Lycoming O-360-A1A";"";"";"";"";"";"";
"Savage Cruiser";"Annex I";"Ultralights";"1";"1";"473,00";"False";"False";"False";"1";"1";"ULAC";"2007";"11.07.2007";"";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"Schweizer 269C";"EASA";"Helicopters";"1";"2";"930,00";"False";"False";"False";"1";"";"H269";"1991";"18.03.2009";"Sweden";"Textron Lycoming";"Lycoming HIO-360-D1A";"";"";"";"";"";"";
"Schweizer 269C";"EASA";"Helicopters";"1";"2";"930,00";"False";"False";"False";"1";"";"H269";"1999";"26.10.2007";"United Kingdom";"Textron Lycoming";"Lycoming HIO-360-D1A";"";"";"";"";"";"";
"Schweizer 269C-1";"EASA";"Helicopters";"1";"2";"794,00";"False";"False";"False";"1";"";"H269";"2000";"14.06.2000";"Sweden";"Textron Lycoming";"Lycoming HO-360-C1A";"";"";"";"";"";"";
"Schweizer 269C-1";"EASA";"Helicopters";"1";"1";"794,00";"False";"False";"False";"1";"";"H269";"1998";"13.07.2007";"United Kingdom";"Textron Lycoming";"Lycoming HO-360-C1A";"";"";"";"";"";"";
"Schweizer 269C-1";"EASA";"Helicopters";"1";"2";"794,00";"False";"False";"False";"1";"";"H269";"2005";"08.06.2005";"United States";"Textron Lycoming";"Lycoming HIO-360-G1A";"";"";"";"";"";"";
"Scintex CP301-C2";"Annex I";"Airplanes";"1";"1";"650,00";"False";"False";"False";"1";"1";"CP30";"1961";"07.03.1961";"France";"Teledyne Continental";"Continental C-90-14F";"";"";"";"";"";"";
"SD-1 Minisport";"Annex I";"Ultralights";"1";"0";"240,00";"False";"False";"False";"1";"1";"EXPE";"2019";"31.05.2019";"";"Spacek";"Briggs&Stratton/Spacek";"";"";"";"";"";"";
"SeaMax M-22";"Annex I";"Ultralights";"1";"1";"495,00";"False";"False";"False";"1";"1";"ULAC";"2010";"07.06.2017";"Sweden";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"SeaMax M-22";"Annex I";"Ultralights";"1";"1";"495,00";"False";"False";"False";"1";"1";"ULAC";"2007";"02.03.2010";"Brazil";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"SeaMax M-22";"Annex I";"Ultralights";"1";"1";"495,00";"False";"False";"False";"1";"1";"ULAC";"2006";"08.03.2007";"Denmark";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"SeaMax M-22";"Annex I";"Ultralights";"1";"1";"495,00";"False";"False";"False";"1";"1";"ULAC";"2006";"25.04.2007";"Brazil";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"SeaRey";"Annex I";"Airplanes";"1";"1";"650,00";"False";"False";"False";"1";"1";"EXPE";"2008";"13.05.2009";"";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"SF 25B/D Mod.";"Annex I";"Gliders and Powered Gliders";"1";"1";"642,00";"False";"False";"False";"1";"1";"GLID";"1970";"19.05.1971";"Germany";"Experimental";"Volkswagen VW 2006";"";"";"";"";"";"";
"SF 34 B";"EASA";"Gliders and Powered Gliders";"1";"1";"540,00";"True";"False";"False";"0";"";"SF34";"1986";"01.02.2012";"";"";"";"";"";"";"";"";"";
