#,REG,MAKE,MODEL,SERIES,MSN,OPERATOR NAME,OPERATOR ADDRESS
99,DQ-HTJ,ROBINSON HELICOPTERS,R44 RAVEN I,,2565,JOYCE AVIATION (FIJI) LTD TRADING AS HELITOURS FIJI,"P.O. BOX 97, PORT DENARAU, FIJI"
100,DQ-BCN,CESSNA AIRCRAFT COMPANY,CESSNA 172S,100,172S9214,OUTBACK RANGE LIMITED,MR BEN NAIDU
,,,,,,,OUTBACK RANGE LTD
,,,,,,,P.O. BOX 12984
,,,,,,,SUVA
101,DQ-HTF,ROBINSON HELICOPTER COMPANY,R44 II CLIPPER HELICOPTER,,12086,TANDEM SKYDIVE (FIJI) LTD,11 ZAHOOR ROAD
,,,,,,,MARTINTAR
,,,,,,,NADI
102,DQ-JMP,CESSNA AIRCRAFT CORP,CESSNA 182Q,100,18265776,TANDEM SKYDIVE (FIJI) LTD,11 ZAHOOR ROAD
,,,,,,,MARTINTAR
,,,,,,,NADI
103,DQ-HFT,"AIRBUS HELICOPTERS, FRANCE",AS355 F1,,5146,MUELLER LTD TRADING AS HELICOPTER FIJI,"P.O. BOX 11417, NADI AIRPORT, LONDON AVE, CAAF COMPOUND, NADI, FIJI"
104,DQ-HFS,AIRBUS HELICOPTERS,EC130 B4,,7271,PACIFIC ISLAND AIR,"P.O. BOX 11417, NADI AIRPORT, LONDON AVE, CAAF COMPOUND, NADI, FIJI"
105,DQ-TIL,"CESSNA AIRCRAFT COMPANY, WICHITA, USA",CESSNA P206A,200,P206-0271,TURTLE AIRWAYS LTD,"P.O. BOX 9317, NADI AIRPORT, FIJI"
106,DQ-VJS,FAIREY BRITTEN NORMAN,BRITTEN NORMAN BN2A MKII-2 TRISLANDER,,1041,NORTHERN AIR SERVICE CHARTER LTD,"NAUSORI AIRPORT, HANGAR 2, HANGAR RD, P.O. BOX 1749, NAUSORI AIRPORT"
107,DQ-NAS,EMBRAER,EMB 110 P1,,110-237,NORTHERN AIR SERVICE CHARTER LTD,"NAUSORI AIRPORT, HANGAR 2, HANGAR RD, P.O. BOX 1749, NAUSORI AIRPORT"
108,DQ-FAE,BOEING,BOEING 737 MAX,– 8,64309,FIJI AIRWAYS,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
109,DQ-FAH,BOEING,BOEING 737 MAX,– 8,64310,FIJI AIRWAYS,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
