MMSI,IMO,Status,Name,Callsign,Type,Build Date,Gross Tonnage,Flag,Owner IMO Number,ITU VIN
205691000,9687502,In Service,KONTICH,ONIP,LPG Tanker,2016-06,"26,261",Belgium,5059676,
205692000,9722924,In Service,ALEX,ONIQ,Oil Tanker,2016-03,"154,379",Belgium,1950845,
205694000,9185932,In Service,UNION BEAR,ORRV,Supply,1999-01,"2,590",Belgium,5111927,
205695000,,Not Found,UNION LYNX,ORRW,Supply,,,,,
205696000,,Not Found,SMIT SENTOSA,0RRX,Tug,,,,,
205699000,9624251,In Service,EL GRASSO,ONIR,Bulk Carrier,2012-07,"92,758",Belgium,5931648,
205700000,9748368,In Service,LA STELLA,ONIS,Bulk Carrier,2016-09,"34,830",Belgium,5931648,
205703000,9750024,In Service,ENGIE ZEEBRUGGE,ONIT,LNG Tanker,2017-02,"7,403",Belgium,5932341,
205706000,9687514,In Service,KORTRIJK,ONIU,LPG Tanker,2016-11,"25,952",Belgium,5059676,
205707000,9778155,In Service,MINERVA,ORSC,Dredger,2017-08,"3,952",Belgium,0134894,
205708000,9778143,In Service,SCHELDT RIVER,ORSB,Dredger,2017-09,"9,459",Belgium,0134894,
205710000,9732565,In Service,ARDECHE,ONIV,Oil Tanker,2017-01,"154,139",Belgium,1950845,
205713000,9719276,In Service,KALLO,ONIX,LPG Tanker,2017-03,"25,952",Belgium,1160920,
205717000,9748485,In Service,LA TONDA,ONIY,Bulk Carrier,2016-03,"34,773",Belgium,5931648,
205723000,,In Service,PAGADDER,ONIZ,General Cargo,,,Belgium,,
205724000,9252929,In Service,MARIE,ONJC,General Cargo,2002-04,"2,061",Belgium,5979269,
205728000,9607576,In Service,CL SEVEN,ONJE,Bulk Carrier,2011-05,"29,218",Belgium,5319042,
205732000,,In Service,BONNY RIVER,BZ382,Dredger,,,Belgium,,
205733000,,In Service,BACCO,ONJI,Bulk Carrier,,,Belgium,,
205734000,,Not Found,CL BOY,ONJJ,Bulk Carrier,,,,,
205736000,9719290,In Service,KAPELLEN,ONJG,LPG Tanker,2018-03,"25,952",Belgium,5059676,
205737000,9797618,In Service,SIRIUS,ORCB,Utility,2017-01,705,Belgium,5490923,
205743000,9719305,In Service,KOKSIJDE,ONJH,LPG Tanker,2018-05,"25,952",Belgium,5059676,
205747000,,Not Found,MINERAL BRUSSEL,ONJN,Bulk Carrier,,,,,
205750000,,In Service,MINERAL BRUGGE,ONJK,General Cargo,,,Belgium,,
205751000,9789324,In Service,WEPION,ONJF,LPG Tanker,2018-07,"25,248",Belgium,5059676,
205753000,9246633,In Service,OCEANIA,ONJP,Oil Tanker,2003-04,"234,006",Belgium,5784795,
205760000,9336983,In Service,SAPPHIRA,ONJR,Oil Tanker,2008-02,"79,235",Belgium,1950845,
205762000,,In Service,SELENA,ONJT,Oil Tanker,,,Belgium,,
205763000,9728708,In Service,ARAFURA,ONJV,Oil Tanker,2016-08,"154,163",Belgium,1950845,
205764000,9732541,In Service,ARAL,ONJW,Oil Tanker,2016-06,"154,133",Belgium,1950845,
205767000,,In Service,MAGDALENA,ONJX,LPG Tanker,,,Belgium,,
205769000,9474539,In Service,MARIANNE,ONKA,LPG Tanker,2009-09,"3,493",Belgium,6087641,
205770000,9442184,In Service,ELISABETH,ONKB,LPG Tanker,2009-03,"3,493",Belgium,6087671,
205771000,9448877,In Service,JOAN,ONJY,LPG Tanker,2009,"3,493",Belgium,,
205772000,9474541,In Service,ANGELA,ONJZ,LPG Tanker,2010,"3,493",Belgium,,
205776000,9846079,In Service,LA LUNA,ONKC,Bulk Carrier,2019,"35,194",Belgium,,
205777000,,In Service,MEUSE RIVER,ORSW,Dredger,,,Belgium,,
205781000,,In Service,XINIX,ONJU,Sailing Vessel,,,Belgium,,
